wave cflux
9980.4 6.429802453948629e-14
9981.0 6.470919804900605e-14
9981.6 6.212969388638169e-14
9982.2 6.467926136355124e-14
9982.8 6.488483964798165e-14
9983.4 6.632906639843401e-14
9984.0 6.517791982399521e-14
9984.6 6.303316887407628e-14
9985.2 6.195482393442104e-14
9985.8 6.38281838339738e-14
9986.4 6.364880766673376e-14
9987.0 6.429778652322811e-14
9987.6 6.234402286819018e-14
9988.199999999999 6.271375190263374e-14
9988.8 6.054377885264441e-14
9989.4 6.226698352757151e-14
9990.0 6.65062402800112e-14
9990.599999999999 6.476977869242662e-14
9991.2 6.311389958427909e-14
9991.8 6.519433193438121e-14
9992.4 6.355129977494468e-14
9993.0 6.555332482621832e-14
9993.6 6.704350565515807e-14
9994.199999999999 6.591807076583318e-14
9994.8 6.725096265866549e-14
9995.4 6.751342852286644e-14
9996.0 6.820465060650626e-14
9996.6 6.499716892228178e-14
9997.2 6.707764362403126e-14
9997.8 6.786390026325417e-14
9998.4 6.636523724638061e-14
9999.0 6.768718462650146e-14
9999.6 6.912972832248763e-14
10000.2 6.755659755702326e-14
10000.8 6.897760628735844e-14
10001.4 6.862757246300444e-14
10002.0 6.762979983839087e-14
10002.6 6.663198909729467e-14
10003.199999999999 6.507756420743747e-14
10003.8 6.427177160031909e-14
10004.4 6.583351993703825e-14
10005.0 6.486223826785006e-14
10005.599999999999 6.300682360831783e-14
10006.2 6.75877751457458e-14
10006.8 6.794059909662805e-14
10007.4 6.721622075530091e-14
10008.0 6.52534446697042e-14
10008.6 6.346165912516971e-14
10009.199999999999 6.752914267810391e-14
10009.8 7.051487283080311e-14
10010.4 6.848397412042347e-14
10011.0 6.605836059772217e-14
10011.6 6.395387844114865e-14
10012.2 6.764262984644293e-14
10012.8 6.607631007290744e-14
10013.4 6.682806282502394e-14
10014.0 6.509911018451678e-14
10014.6 6.793850692524833e-14
10015.2 6.87244205161276e-14
10015.8 6.85369484079777e-14
10016.4 6.600379727635889e-14
10017.0 6.537258408890025e-14
10017.6 6.36694473185595e-14
10018.199999999999 6.690900021126588e-14
10018.8 6.578561005947565e-14
10019.4 6.207386679186111e-14
10020.0 6.760206035640124e-14
10020.599999999999 6.928164622267653e-14
10021.2 7.04682013154094e-14
10021.8 7.116621406218736e-14
10022.4 7.067517974530162e-14
10023.0 7.054107494799348e-14
10023.6 6.986331221788553e-14
10024.199999999999 6.773852159936864e-14
10024.8 7.009214070968512e-14
10025.4 6.808702398815401e-14
10026.0 6.973777261774002e-14
10026.6 6.954508109256914e-14
10027.2 6.856178426102415e-14
10027.8 6.994336614876348e-14
10028.4 7.204026397232728e-14
10029.0 7.000973795644443e-14
10029.6 6.569273289680922e-14
10030.2 6.460782938104339e-14
10030.8 6.443774601226767e-14
10031.4 6.515170500131064e-14
10032.0 6.540798074873306e-14
10032.6 6.475046634122923e-14
10033.199999999999 6.695267915925694e-14
10033.8 6.779186095812314e-14
10034.4 6.529308496460275e-14
10035.0 6.677396113661692e-14
10035.599999999999 6.83404079650945e-14
10036.2 6.746635805495458e-14
10036.8 6.606130488424683e-14
10037.4 6.462649883423382e-14
10038.0 6.396220223392132e-14
10038.6 6.311737834859346e-14
10039.199999999999 6.010810067996059e-14
10039.8 5.809435777489463e-14
10040.4 5.771905865178993e-14
10041.0 5.998016397657435e-14
10041.6 5.897674587736733e-14
10042.2 5.762546744034897e-14
10042.8 5.978932491245911e-14
10043.4 6.58281666888116e-14
10044.0 6.63243967057958e-14
10044.6 6.746549492838132e-14
10045.2 6.586538616354691e-14
10045.8 6.650236595131045e-14
10046.4 6.821221799885703e-14
10047.0 6.802127220859044e-14
10047.6 6.888292155638256e-14
10048.199999999999 6.866886108401835e-14
10048.8 6.958570479271946e-14
10049.4 7.04237490263375e-14
10050.0 6.653817850432037e-14
10050.599999999999 6.708963930463028e-14
10051.2 6.582905183824149e-14
10051.8 6.832998437764559e-14
10052.4 6.79267924595878e-14
10053.0 6.656845908515176e-14
10053.6 6.341626493546046e-14
10054.199999999999 6.144611627509084e-14
10054.8 6.282082872562794e-14
10055.4 6.841586843629949e-14
10056.0 6.807763801606548e-14
10056.6 6.834101782881652e-14
10057.2 6.837658728337057e-14
10057.8 6.840336114780033e-14
10058.4 6.75264609717929e-14
10059.0 6.731783590985122e-14
10059.6 6.703310409056579e-14
10060.2 6.68520601154526e-14
10060.8 6.595777712930162e-14
10061.4 6.647183973092436e-14
10062.0 6.494867967418326e-14
10062.6 6.427984805947116e-14
10063.199999999999 6.14760826066988e-14
10063.8 5.672979193203269e-14
10064.4 5.4836406479540946e-14
10065.0 5.6453413551673087e-14
10065.599999999999 5.92005836510417e-14
10066.2 6.382840999177072e-14
10066.8 6.729612730244604e-14
10067.4 6.699840538588152e-14
10068.0 6.79460294248529e-14
10068.6 6.539972810672796e-14
10069.199999999999 6.532488851067331e-14
10069.8 6.584125927707732e-14
10070.4 6.584144477729276e-14
10071.0 6.498606601440917e-14
10071.6 6.580012820419159e-14
10072.2 6.794094299200464e-14
10072.8 6.723324781160661e-14
10073.4 6.771949723937331e-14
10074.0 6.784591267158628e-14
10074.6 6.912812827725026e-14
10075.2 6.534001143691359e-14
10075.8 6.132796873147602e-14
10076.4 6.067589312252651e-14
10077.0 6.62323733523402e-14
10077.6 6.713330215899534e-14
10078.199999999999 6.818132416617183e-14
10078.8 7.044028395650085e-14
10079.4 7.062161846391494e-14
10080.0 6.93794319412723e-14
10080.599999999999 6.775264248563232e-14
10081.2 6.745342132075116e-14
10081.8 6.787408837554375e-14
10082.4 6.822255942411006e-14
10083.0 6.93652119521538e-14
10083.6 6.850138064748955e-14
10084.199999999999 6.74062720787752e-14
10084.8 6.898153990836549e-14
10085.4 6.793535426861865e-14
10086.0 6.468762581390538e-14
10086.6 6.646003717383732e-14
10087.2 6.762259074097679e-14
10087.8 6.821356816937496e-14
10088.4 6.861178038073583e-14
10089.0 6.934885744000821e-14
10089.6 6.909710569555708e-14
10090.2 6.825900471073157e-14
10090.8 6.647926990393767e-14
10091.4 6.612624012404924e-14
10092.0 6.571180214955076e-14
10092.6 6.723350530962258e-14
10093.199999999999 6.997098619910755e-14
10093.8 6.872156770916125e-14
10094.4 6.655216555937838e-14
10095.0 6.703455675207033e-14
10095.599999999999 6.934374474913858e-14
10096.2 7.15017814108352e-14
10096.8 7.019652396790706e-14
10097.4 6.855700445410279e-14
10098.0 6.718884973264333e-14
10098.6 6.840401759833446e-14
10099.199999999999 7.053432070727207e-14
10099.8 7.070410168528562e-14
10100.4 7.006269106817498e-14
10101.0 6.909484242352201e-14
10101.6 6.95088145298995e-14
10102.2 7.175812830902519e-14
10102.8 7.35417171157291e-14
10103.4 7.230308559036608e-14
10104.0 7.043057865299121e-14
10104.6 7.058325210656906e-14
10105.2 7.153607438673774e-14
10105.8 7.394691904297071e-14
10106.4 7.335832855341791e-14
10107.0 7.1333376014328e-14
10107.6 6.985729743692708e-14
10108.199999999999 7.027591213088847e-14
10108.8 7.059035278376589e-14
10109.4 7.18741802931285e-14
10110.0 7.016020404216174e-14
10110.599999999999 6.766215819104188e-14
10111.2 6.66839774384983e-14
10111.8 6.79642160692634e-14
10112.4 7.212062537616509e-14
10113.0 7.287268898937323e-14
10113.6 7.093612687942815e-14
10114.199999999999 6.921823479514623e-14
10114.8 6.866587613991223e-14
10115.4 6.957031674516669e-14
10116.0 7.143446431438511e-14
10116.6 7.185127144003706e-14
10117.2 7.112087492961968e-14
10117.8 6.964229252282668e-14
10118.4 6.771577791770192e-14
10119.0 6.630395695374561e-14
10119.6 6.804334080499821e-14
10120.2 6.996687554821452e-14
10120.8 7.089332630460339e-14
10121.4 7.020041947243148e-14
10122.0 6.839190756828756e-14
10122.6 6.710067021470237e-14
10123.199999999999 6.975720185948414e-14
10123.8 7.06017801052573e-14
10124.4 7.143789225672265e-14
10125.0 6.88924261130837e-14
10125.599999999999 6.913688913902372e-14
10126.2 6.842011969466176e-14
10126.8 6.582223407004904e-14
10127.4 6.53706113491661e-14
10128.0 6.597875728837216e-14
10128.6 6.593633449024187e-14
10129.199999999999 6.890005533883962e-14
10129.8 6.938560765849073e-14
10130.4 7.022366629166887e-14
10131.0 7.144666243585852e-14
10131.6 7.217996511631793e-14
10132.2 7.209401583612709e-14
10132.8 7.15301316035798e-14
10133.4 7.053601985536426e-14
10134.0 7.021200603611697e-14
10134.6 7.207120269775869e-14
10135.2 7.289194035419843e-14
10135.8 7.426730163197313e-14
10136.4 7.270463426450619e-14
10137.0 6.885571994031444e-14
10137.6 6.525176415633684e-14
10138.199999999999 6.360751226945627e-14
10138.8 6.62775676422739e-14
10139.4 6.955299153326355e-14
10140.0 7.157511244121079e-14
10140.599999999999 6.984674255937134e-14
10141.2 6.853969957099039e-14
10141.8 6.868179612415587e-14
10142.4 6.848441627162194e-14
10143.0 6.756524745748062e-14
10143.6 6.771984198178285e-14
10144.199999999999 6.856664368904255e-14
10144.8 6.816095641192215e-14
10145.4 6.834670057285965e-14
10146.0 6.913089722795484e-14
10146.6 6.829171373502274e-14
10147.2 6.741280524389737e-14
10147.8 6.671734460738949e-14
10148.4 6.495247268772106e-14
10149.0 6.433206171143875e-14
10149.6 6.423260225573921e-14
10150.2 6.554857381841717e-14
10150.8 6.403259998920057e-14
10151.4 6.20776792871567e-14
10152.0 6.117372826694575e-14
10152.6 6.35736148579401e-14
10153.199999999999 6.588214555744128e-14
10153.8 6.604466746309686e-14
10154.4 6.613046004219246e-14
10155.0 6.766796544892826e-14
10155.599999999999 6.867959468552596e-14
10156.2 7.034326819085413e-14
10156.8 7.058369933996521e-14
10157.4 6.876960802979773e-14
10158.0 6.80224902419686e-14
10158.6 6.75084284873788e-14
10159.199999999999 6.881974899214339e-14
10159.8 6.585792295624865e-14
10160.4 6.387871951367289e-14
10161.0 6.416729262737411e-14
10161.6 6.653590845602173e-14
10162.2 6.891130054824737e-14
10162.8 6.789192519534703e-14
10163.4 6.776120768279496e-14
10164.0 6.82997935823066e-14
10164.6 6.892263130798279e-14
10165.2 7.018533889783856e-14
10165.8 6.998882556000967e-14
10166.4 6.872198021420656e-14
10167.0 6.788554957835305e-14
10167.6 6.841945646786406e-14
10168.199999999999 7.088523375182532e-14
10168.8 7.07921041733406e-14
10169.4 6.926339435672909e-14
10170.0 6.790605201084134e-14
10170.599999999999 6.710139781600406e-14
10171.2 6.856291589704168e-14
10171.8 6.904965745095073e-14
10172.4 6.639898134493333e-14
10173.0 6.399564902390955e-14
10173.6 6.446496287492885e-14
10174.199999999999 6.760811240680937e-14
10174.8 6.785706386033688e-14
10175.4 6.642812436051656e-14
10176.0 6.61827677148172e-14
10176.6 6.532241263336848e-14
10177.2 6.674756758998047e-14
10177.8 6.840078786170658e-14
10178.4 6.892066026231453e-14
10179.0 6.989598990195765e-14
10179.6 6.887904722768182e-14
10180.2 6.914036875037104e-14
10180.8 7.031778943980072e-14
10181.4 7.123009982816812e-14
10182.0 7.072664292607795e-14
10182.6 7.197510596285974e-14
10183.199999999999 7.191413060208575e-14
10183.8 7.058262530218809e-14
10184.4 6.855167576983161e-14
10185.0 6.784133022334164e-14
10185.599999999999 6.730888954786232e-14
10186.2 6.771700272734365e-14
10186.8 6.799730710541378e-14
10187.4 6.961093705718522e-14
10188.0 7.100840589488325e-14
10188.6 7.046004269406145e-14
10189.199999999999 6.617970738477877e-14
10189.8 6.773035874285595e-14
10190.4 6.533876121628344e-14
10191.0 6.362143918517502e-14
10191.6 6.515898101432755e-14
10192.2 6.796712816853605e-14
10192.8 7.107870031214294e-14
10193.4 7.267446210389205e-14
10194.0 6.912556176742008e-14
10194.6 6.496342397669611e-14
10195.2 6.025596806859572e-14
10195.8 6.097553356871656e-14
10196.4 6.343127944148349e-14
10197.0 6.785752718735903e-14
10197.6 6.997708229522894e-14
10198.199999999999 7.085686492435588e-14
10198.8 7.051504223739256e-14
10199.4 6.926594561996622e-14
10200.0 6.761359270997811e-14
